,flat_type,location,agent,price,area
0,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","GH 13 Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
1,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
2,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Chirag Delhi, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
3,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
4,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
5,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
6,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
7,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Moti Nagar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
8,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Govindpuri Main, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
9,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
10,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","GH 13 Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
11,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
12,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Chirag Delhi, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
13,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
14,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
15,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
16,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
17,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Moti Nagar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
18,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Govindpuri Main, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
19,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
20,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","GH 13 Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
21,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
22,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Chirag Delhi, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
23,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
24,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
25,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
26,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
27,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Moti Nagar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
28,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Govindpuri Main, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
29,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
30,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","GH 13 Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
31,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
32,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Chirag Delhi, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
33,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
34,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
35,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
36,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
37,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Moti Nagar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
38,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Govindpuri Main, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
39,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
40,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","GH 13 Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
41,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
42,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Chirag Delhi, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
43,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
44,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
45,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
46,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Paschim Vihar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
47,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Moti Nagar, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
48,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Govindpuri Main, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
49,"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi","Okhla Phase 1, New Delhi",krishna shukla  (Agent),4.49Cr,Area2234 Sq Ft.
